Time (seconds)	Validator 1	Validator 2	Validator 3	Validator 4
1	9	0	0	1
2	3	1	8	1
3	16	5	9	10
4	5	5	0	5
5	6	1	2	5
6	1	1	0	5
7	1	2	2	9
8	7	9	0	12
9	6	1	3	1
10	0	4	4	1
11	2	3	2	5
12	5	2	3	6
13	3	2	2	1
14	0	1	1	1
15	2	1	2	5
16	2	0	0	1
17	8	7	5	1
18	1	1	2	8
19	12	0	8	2
20	3	4	1	32
21	2	4	3	2
22	1	12	3	35
23	0	23	4	4
24	2	4	1	1
25	2	1	3	1
26	7	2	2	9
27	7	5	5	1
28	1	7	0	1
29	1	1	3	1
30	4	2	17	6
31	1	4	1	2
32	1	7	1	4
33	2	1	1	8
34	5	4	5	3
35	1	0	0	6
36	2	1	1	9
37	7	5	0	1
38	5	1	30	16
39	0	0	0	4
40	1	1	1	4
41	1	4	7	1
42	5	1	7	1
43	4	1	1	3
44	5	1	1	1
45	0	1	2	8
46	3	4	1	9
47	10	33	4	3
48	1	4	6	1
49	18	9	1	2
50	8	0	0	7
51	0	1	1	1
52	1	2	2	2
53	1	6	8	9
54	4	1	5	1
55	7	4	3	0
56	1	4	2	8
57	26	6	1	6
58	4	1	1	1
59	0	0	0	1
60	1	2	4	9
61	9	3	4	20
62	1	1	1	2
63	1	2	5	8
64	8	4	4	0
65	0	4	0	0
66	2	1	1	1
67	0	1	1	4
68	2	4	5	0
69	2	1	0	1
70	1	1	1	5
71	8	20	4	8
72	1	1	1	1
73	1	2	0	1
74	2	1	2	6
75	0	6	15	4
76	2	0	0	0
77	2	1	4	0
78	4	9	2	2
79	1	14	10	7
80	1	1	2	0
81	0	1	1	1
82	1	1	5	7
83	9	6	3	0
84	1	0	1	0
85	5	1	1	1
86	2	3	8	9
87	1	0	2	2
88	1	3	1	1
89	1	3	5	1
90	7	0	5	6
91	8	0	0	6
92	0	3	2	0
93	1	2	1	6
94	5	5	1	4
95	2	5	5	15
96	1	1	1	7
97	0	1	5	5
98	5	8	6	5
99	1	1	1	0
100	1	1	2	1
101	0	1	1	8
102	7	7	7	0
103	2	1	1	2
104	1	1	1	1
105	3	5	5	6
106	0	0	0	1
107	3	1	1	1
108	5	2	1	5
109	9	7	1	5
110	1	0	1	1
111	2	1	1	1
112	11	6	2	12
113	6	1	5	6
114	1	0	0	1
115	4	1	2	1
116	4	1	5	4
117	4	4	1	5
118	2	3	0	0
119	1	4	0	1
120	6	4	3	4
121	0	0	0	1
122	6	3	1	7
123	0	1	6	2
124	0	7	4	5
125	0	0	0	1
126	5	2	4	3
127	8	1	2	1
128	8	10	6	2
129	2	6	1	5
130	3	1	2	1
131	0	1	1	13
132	8	11	7	3
133	6	0	6	5
134	0	1	1	1
135	1	2	2	5
136	11	4	1	1
137	5	1	3	2
138	1	1	1	1
139	4	5	5	4
140	4	3	4	0
141	2	2	0	1
142	0	1	0	3
143	5	17	7	13
144	5	1	6	1
145	2	10	0	12
146	1	9	1	1
147	7	5	10	1
148	1	1	1	0
149	1	1	1	1
150	1	4	2	7
151	6	8	1	4
152	2	1	1	1
153	1	0	3	5
154	3	0	4	4
155	0	0	1	1
156	2	1	0	1
157	0	5	1	3
158	0	4	6	5
159	1	1	0	1
160	1	1	2	4
161	5	2	5	7
162	1	9	9	1
163	2	0	0	2
164	1	3	1	3
165	1	1	5	1
166	1	5	5	4
167	4	3	1	5
168	3	2	4	1
169	5	5	2	2
170	0	0	0	0
171	7	0	0	7
172	5	1	1	1
173	0	4	4	4
174	1	3	1	4
175	5	1	3	1
176	1	1	1	4
177	5	4	13	2
178	2	4	4	4
179	1	1	0	0
180	1	3	2	1
181	7	7	4	3
182	4	1	5	1
183	1	1	1	1
184	1	8	3	5
185	5	4	1	2
186	3	0	0	0
187	1	0	0	0
188	4	8	5	7
189	5	1	4	6
190	1	1	0	1
191	1	7	1	1
192	1	5	2	1
193	2	1	1	1
194	1	1	1	14
195	1	6	3	17
196	1	22	0	1
197	1	1	1	0
198	1	1	1	0
199	4	3	3	7
200	1	1	1	1
201	1	1	1	1
202	0	5	31	2
203	1	8	5	6
204	1	1	1	1
205	3	3	0	1
206	5	1	1	1
207	21	1	6	11
208	4	0	1	1
209	1	4	7	3
210	2	2	33	24
211	1	6	6	10
212	2	6	1	1
213	6	1	1	5
214	1	1	2	5
215	10	1	9	6
216	7	4	1	1
217	1	1	1	1
218	1	3	4	6
219	16	5	1	3
220	5	3	0	0
221	2	1	2	2
222	1	0	4	4
223	3	5	4	4
224	0	3	4	1
225	1	0	1	1
226	6	5	1	4
227	1	0	1	4
228	2	2	4	1
229	1	2	2	5
230	14	0	3	5
231	1	1	1	1
232	3	1	1	0
233	1	3	6	48
234	11	5	4	7
235	2	0	4	0
236	1	0	2	0
237	2	3	5	1
238	1	2	5	3
239	3	2	1	0
240	0	0	0	5
241	2	1	1	5
242	1	1	4	1
243	3	1	0	1
244	1	6	1	5
245	6	5	9	1
246	5	0	0	0
247	2	1	1	5
248	4	4	1	4
249	3	4	9	3
250	4	1	1	2
251	1	4	1	5
252	1	3	6	1
253	5	3	0	3
254	2	1	1	5
255	4	0	1	1
256	4	1	6	4
257	2	3	0	1
258	3	4	1	1
259	4	1	1	1
260	4	1	2	5
261	1	0	0	4
262	4	1	0	1
263	1	1	6	0
264	5	1	2	4
265	2	5	0	4
266	3	2	4	1
267	0	1	1	4
268	8	5	4	1
269	4	1	1	4
270	0	2	4	2
271	0	3	1	5
272	5	9	9	5
273	6	1	1	1
274	1	0	2	1
275	1	2	17	8
276	4	0	0	0
277	2	3	5	1
278	3	1	1	1
279	3	10	0	5
280	1	1	1	1
281	3	1	0	1
282	5	3	3	0
283	1	8	4	3
284	1	0	4	1
285	0	0	1	1
286	1	5	1	7
287	2	4	5	0
288	2	1	0	1
289	1	1	1	0
290	4	3	2	3
291	2	1	6	2
292	2	7	0	7
293	3	4	0	0
294	2	0	30	4
295	6	1	1	1
296	2	1	1	5
297	6	2	2	0
298	4	4	7	1
299	1	4	1	5
300	3	6	1	5
301	1	1	6	1
302	4	5	1	1
303	3	7	0	1
304	4	0	0	1
305	2	2	6	1
306	2	5	4	3
307	1	6	1	4
308	1	1	0	28
309	1	18	4	4
310	8	8	1	1
311	5	1	0	1
312	1	2	3	1
313	4	4	4	1
314	5	5	0	5
315	2	1	1	2
316	1	2	5	0
317	4	12	1	4
318	5	1	0	4
319	1	0	4	1
320	1	1	1	3
321	4	2	1	1
322	2	1	0	1
323	1	1	5	1
324	7	18	14	7
325	1	4	0	1
326	1	1	4	1
327	2	3	7	7
328	8	3	2	6
329	2	0	6	1
330	2	1	1	1
331	0	4	3	8
332	2	2	2	2
333	3	0	4	1
334	1	0	1	1
335	5	2	3	3
336	3	1	9	6
337	3	1	0	1
338	1	5	0	7
339	0	0	1	3
340	2	1	4	1
341	3	11	0	10
342	6	2	2	5
343	4	5	5	6
344	7	1	1	1
345	4	2	0	1
346	3	2	1	0
347	4	27	11	1
348	1	1	1	5
349	4	0	0	1
350	5	1	5	1
351	1	4	3	6
352	5	0	0	3
353	1	1	1	1
354	0	2	5	1
355	1	1	0	1
356	3	1	1	0
357	1	1	4	2
358	0	4	1	1
359	6	2	0	1
360	1	1	5	2
361	12	6	5	6
362	1	0	0	1
363	1	1	2	0
364	0	1	4	1
365	3	7	6	7
366	1	0	0	2
367	1	0	4	1
368	1	1	2	28
369	18	1	2	21
370	2	1	1	0
371	0	0	0	0
372	0	3	1	15
373	4	0	3	1
374	2	11	4	17
375	0	0	1	1
376	5	12	4	8
377	9	0	4	1
378	2	1	1	1
379	1	5	1	6
380	1	2	2	5
381	2	1	5	1
382	2	5	1	1
383	1	1	3	4
384	5	4	7	3
385	2	6	1	1
386	1	3	0	5
387	4	1	2	4
388	2	2	4	1
389	4	2	1	1
390	6	0	11	9
391	0	0	3	4
392	1	0	1	1
393	4	5	1	4
394	4	1	5	1
395	5	3	0	1
396	0	0	0	0
397	0	2	2	4
398	1	4	15	1
399	1	5	4	7
400	3	4	0	1
401	2	3	0	4
402	1	1	4	13
403	2	2	1	3
404	7	1	1	1
405	2	2	2	1
406	6	1	8	0
407	4	8	7	12
408	5	0	1	1
409	4	1	1	1
410	1	1	3	1
411	3	1	1	7
412	7	2	1	0
413	0	0	1	1
414	5	10	0	5
415	3	0	0	1
416	1	2	1	0
417	1	5	1	1
418	7	4	1	9
419	1	0	0	0
420	1	5	2	0
421	0	10	2	0
422	3	2	2	1
423	1	8	5	0
424	1	2	2	1
425	6	4	8	6
426	1	0	4	1
427	1	4	0	5
428	10	1	1	3
429	2	2	2	1
430	1	1	3	1
431	1	0	0	8
432	1	2	1	2
433	1	3	6	0
434	1	7	0	6
435	0	2	0	0
436	3	1	1	1
437	0	5	3	1
438	0	1	1	0
439	1	1	1	1
440	3	4	5	9
441	1	3	0	4
442	2	2	1	1
443	3	1	2	1
444	4	5	8	5
445	4	0	0	1
446	0	1	1	0
447	1	1	8	1
448	9	1	8	7
449	1	1	0	1
450	1	1	1	1
451	0	4	4	1
452	3	0	1	1
453	1	1	0	1
454	0	0	5	2
455	7	7	0	8
456	0	8	1	1
457	1	3	5	0
458	7	5	7	1
459	8	4	4	3
460	2	1	0	1
461	1	0	1	1
462	5	1	2	5
463	3	3	7	3
464	2	1	5	1
465	5	4	7	5
466	1	1	4	3
467	0	1	1	1
468	4	3	4	5
469	0	1	0	0
470	4	3	2	1
471	1	1	5	2
472	11	10	1	11
473	0	1	2	0
474	3	4	2	5
475	10	6	4	6
476	4	1	1	1
477	1	1	1	2
478	7	7	4	5
479	10	2	2	1
480	1	0	0	1
481	4	1	2	0
482	9	9	8	1
483	2	1	0	1
484	1	1	1	0
485	1	1	6	7
486	2	0	0	0
487	3	0	1	1
488	0	0	1	4
489	1	5	6	1
490	0	0	0	0
491	1	1	0	1
492	1	6	6	25
493	1	4	3	1
494	1	0	0	0
495	2	1	2	5
496	4	2	2	5
497	3	3	1	2
498	2	1	0	1
499	1	4	5	0
500	3	1	3	1
501	1	1	0	22
502	10	1	1	5
503	5	5	0	5
504	1	10	13	4
505	0	0	4	1
506	1	5	6	1
507	6	1	3	4
508	3	0	1	4
509	2	4	4	3
510	15	1	0	1
511	1	1	3	1
512	4	3	9	5
513	9	4	5	6
514	1	1	0	1
515	1	1	2	5
516	4	6	0	4
517	9	1	0	0
518	1	0	0	1
519	1	6	7	5
520	9	1	5	7
521	2	13	0	8
522	1	2	1	1
523	2	7	6	1
524	12	0	0	1
525	1	1	1	1
526	1	1	7	9
527	4	4	4	1
528	4	1	7	1
529	0	0	0	0
530	5	5	4	9
531	1	1	0	0
532	6	3	1	2
533	1	5	4	3
534	6	2	4	1
535	1	1	1	0
536	1	0	7	1
537	1	14	4	6
538	2	2	2	1
539	1	2	0	1
540	1	7	5	1
541	9	1	6	2
542	1	1	1	0
543	1	5	1	4
544	1	2	1	1
545	3	4	7	3
546	1	1	5	1
547	4	1	5	0
548	3	1	2	3
549	2	16	2	1
550	4	5	4	2
551	5	1	0	1
552	1	1	2	3
553	4	3	4	4
554	4	11	4	4
555	3	0	0	1
556	1	2	4	7
557	5	0	0	1
558	0	1	0	0
559	0	1	9	1
560	7	9	1	7
561	2	2	1	2
