Transaction Number;Hyperledger Besu (IBFT2);CosmWasm (Tendermint);Ethereum (PoW)
1;5.00;5.35;6.94
2;4.60;5.43;12.17
3;5.11;5.35;36.12
4;5.19;5.45;4.19
5;5.19;5.40;7.29
6;5.98;5.43;37.23
7;4.17;5.40;37.26
8;4.11;5.44;20.22
9;5.66;5.36;18.89
10;4.84;5.51;23.07
11;5.24;5.44;18.99
12;5.00;5.38;25.16
13;4.35;5.57;6.08
14;5.77;5.60;56.18
15;4.12;5.44;17.07
16;5.78;5.35;36.10
17;4.88;5.38;4.11
18;4.67;5.32;44.06
19;5.56;5.33;19.08
20;4.77;5.40;5.15
21;4.59;5.35;2.95
22;5.84;5.42;20.99
23;4.78;5.37;9.10
24;4.21;5.43;28.00
25;5.85;5.41;8.94
26;4.73;5.46;12.95
27;5.10;5.40;19.02
28;4.85;5.39;10.04
29;4.31;5.46;72.16
30;5.65;5.43;19.95
31;4.54;5.33;9.91
32;5.63;5.35;20.16
33;4.88;5.38;9.98
34;4.89;5.31;16.18
35;4.69;5.53;16.21
36;5.76;5.36;7.93
37;4.66;5.41;4.01
38;4.52;5.36;8.99
39;5.32;5.34;9.99
40;4.62;5.37;17.01
41;5.97;5.43;36.09
42;4.98;5.46;10.16
43;4.77;5.61;8.14
44;4.39;5.45;8.92
45;4.81;5.38;8.05
46;5.99;5.35;12.08
47;4.49;5.33;4.13
48;4.51;5.33;17.07
49;4.97;5.36;19.05
50;5.70;5.45;5.03
51;4.75;5.45;11.02
52;4.62;5.37;14.22
53;5.68;5.50;28.05
54;4.75;5.39;22.18
55;4.63;5.32;9.98
56;5.80;5.38;8.97
57;4.73;5.45;26.04
58;5.11;5.37;43.36
59;4.76;5.46;26.05
60;4.66;5.44;31.20
61;4.85;5.34;21.20
62;5.04;5.35;11.02
63;4.99;5.53;19.97
64;5.90;5.35;43.15
65;4.90;5.36;6.03
66;4.11;5.30;10.89
67;5.87;5.43;8.15
68;4.76;5.35;15.99
69;4.63;5.35;8.04
70;5.80;5.34;8.90
71;4.66;5.55;7.94
72;4.85;5.36;5.99
73;5.05;5.39;44.11
74;4.55;5.47;46.38
75;5.00;5.32;21.09
76;3.89;5.43;19.94
77;4.70;5.37;3.94
78;4.57;5.34;22.43
79;5.75;5.33;7.99
80;4.79;5.43;23.05
81;4.63;5.36;64.22
82;5.81;5.43;3.89
83;4.95;5.45;17.94
84;4.65;5.35;25.18
85;4.58;5.34;23.22
86;5.85;5.37;28.05
87;4.59;5.48;3.96
88;4.72;5.36;34.04
89;4.80;5.33;16.98
90;5.87;5.35;10.92
91;4.03;5.33;10.19
92;5.85;5.35;19.08
93;4.72;5.34;20.89
94;4.61;5.45;14.89
95;5.57;5.34;8.97
96;4.75;5.35;9.91
97;4.71;5.44;8.93
98;4.91;5.39;7.98
99;5.78;5.39;18.97
100;5.05;5.47;12.02
101;5.02;5.45;5.91
102;5.02;5.43;6.10
103;4.54;5.53;16.16
104;4.59;5.36;7.95
105;5.04;5.34;16.23
106;5.20;5.35;14.28
107;4.80;5.35;5.06
108;4.80;5.55;4.86
109;5.82;5.44;33.98
110;5.19;5.36;9.15
111;4.67;5.56;14.97
112;4.80;5.34;15.02
113;4.58;5.35;4.99
114;5.75;5.37;4.97
115;4.93;5.33;9.05
116;5.81;5.35;48.21
117;3.71;5.36;16.99
118;5.81;5.32;24.11
119;4.98;5.37;4.99
120;4.01;5.43;39.09
121;5.83;5.45;9.10
122;5.23;5.35;26.98
123;4.70;5.33;28.49
124;4.78;5.45;17.14
125;4.78;5.37;14.98
126;5.00;5.54;11.96
127;5.00;5.38;8.12
128;4.72;5.55;23.01
129;4.67;5.33;8.96
130;5.85;5.35;7.09
131;4.84;5.47;3.91
132;5.06;5.45;5.95
133;4.81;5.35;40.12
134;4.77;5.46;15.99
135;4.94;5.36;50.04
136;4.79;5.51;5.94
137;5.75;5.44;19.94
138;4.19;5.33;43.17
139;5.66;5.45;38.84
140;4.94;5.34;36.30
141;4.73;5.36;15.01
142;4.55;5.37;22.19
143;5.68;5.43;20.97
144;4.74;5.34;4.94
145;4.73;5.44;45.10
146;5.74;5.45;16.02
147;5.06;5.34;23.03
148;5.05;5.35;15.97
149;5.00;5.38;71.16
150;4.02;5.44;15.03
151;5.77;5.52;8.09
152;4.68;5.54;15.11
153;4.68;5.34;11.98
154;5.78;5.40;31.09
155;4.75;5.33;14.96
156;5.07;5.33;34.05
157;5.00;5.36;36.45
158;4.53;5.39;21.26
159;5.66;5.48;36.22
160;5.07;5.53;10.00
161;4.91;5.34;6.11
162;4.94;5.38;17.02
163;4.96;5.47;21.01
164;4.93;5.47;9.92
165;4.93;5.54;12.94
166;4.75;5.35;14.14
167;4.61;5.38;24.02
168;5.88;5.36;18.02
169;5.03;5.34;35.10
170;4.88;5.45;61.19
171;5.05;5.36;14.03
172;4.64;5.33;35.20
173;4.53;5.39;5.93
174;5.80;5.40;7.99
175;4.69;5.35;3.97
176;5.27;5.33;13.04
177;4.84;5.33;11.23
178;5.13;5.37;50.15
179;4.69;5.44;16.07
180;4.75;5.46;3.92
181;4.79;5.35;44.39
182;5.74;5.33;4.39
183;4.60;5.45;9.97
184;4.71;5.38;9.94
185;5.61;5.40;21.96
186;5.27;5.43;3.93
187;4.82;5.31;6.09
188;4.61;5.47;7.96
189;4.57;5.35;26.18
190;5.87;5.36;32.14
191;4.55;5.37;25.67
192;4.73;5.37;8.07
193;5.92;5.45;33.62
194;4.59;5.32;32.53
195;4.72;5.36;12.70
196;4.76;5.51;8.49
197;5.63;5.35;14.35
198;5.00;5.35;32.32
199;4.71;5.35;47.14
200;4.76;5.33;24.46
201;5.77;5.37;13.52
202;4.63;5.51;33.08
203;4.57;5.45;15.91
204;5.67;5.35;20.46
205;4.63;5.35;9.17
206;4.52;5.43;4.95
207;5.75;5.34;13.47
208;4.61;5.36;6.54
209;5.69;5.37;35.33
210;4.62;5.42;26.95
211;4.68;5.43;5.76
212;5.72;5.46;39.42
213;4.70;5.45;7.78
214;4.68;5.35;32.77
215;4.58;5.35;54.72
216;5.77;5.43;32.46
217;4.81;5.37;16.70
218;4.73;5.33;18.17
219;5.67;5.39;17.35
220;4.75;5.35;27.02
221;4.64;5.33;32.56
222;4.65;5.44;17.26
223;5.64;5.35;75.11
224;4.70;5.43;6.15
225;4.61;5.45;13.96
226;5.63;5.35;20.12
227;4.56;5.44;45.56
228;5.84;5.46;14.44
229;4.64;5.57;13.74
230;4.67;5.33;10.23
231;4.68;5.37;80.13
232;5.75;5.37;17.25
233;4.63;5.42;47.37
234;5.65;5.44;18.11
235;4.78;5.37;18.48
236;4.68;5.36;24.97
237;4.76;5.53;33.50
238;5.70;5.33;15.14
239;4.80;5.56;48.92
240;4.75;5.33;5.28
241;4.56;5.43;58.62
242;5.73;5.44;18.35
243;4.62;5.33;52.35
244;4.64;5.33;7.46
245;5.59;5.37;21.98
246;4.72;5.43;20.94
247;4.70;5.36;29.25
248;5.84;5.45;21.30
249;4.73;5.34;8.33
250;4.75;5.33;6.52
251;4.64;5.48;18.11
252;5.85;5.47;11.03
253;4.65;5.39;13.80
254;4.67;5.43;107.84
255;5.73;5.35;19.98
256;4.66;5.33;7.45
257;4.60;5.33;53.58
258;5.83;5.44;6.95
259;4.78;5.35;9.45
260;4.78;5.34;33.38
261;4.78;5.39;31.36
262;4.71;5.38;7.39
263;5.66;5.40;18.41
264;4.75;5.35;11.40
265;4.55;5.35;10.33
266;5.79;5.33;10.09
267;4.57;5.43;10.23
268;4.73;5.47;11.62
269;5.64;5.36;29.43
270;4.74;5.33;15.78
271;5.61;5.37;31.82
272;4.64;5.61;12.40
273;4.57;5.53;32.15
274;5.74;5.36;13.64
275;4.54;5.35;32.34
276;4.64;5.37;13.96
277;5.77;5.45;17.03
278;4.64;5.36;16.76
279;4.85;5.34;13.38
280;4.67;5.34;36.95
281;5.65;5.37;8.60
282;4.74;5.43;13.17
283;4.54;5.44;11.26
284;5.56;5.49;11.27
285;4.68;5.43;26.20
286;5.61;5.33;6.83
287;4.64;5.42;10.61
288;4.59;5.34;15.03
289;5.75;5.35;19.82
290;4.59;5.33;26.67
291;4.56;5.44;21.64
292;5.71;5.43;34.55
293;4.64;5.36;58.06
294;4.67;5.36;42.99
295;5.69;5.46;22.05
296;4.68;5.36;20.26
297;4.62;5.31;8.47
298;5.81;5.34;13.05
299;4.64;5.34;15.54
300;4.89;5.34;4.02
301;4.58;5.37;20.39
302;5.63;5.44;48.52
303;4.90;5.44;26.97
304;4.79;5.44;31.26
305;5.65;5.47;62.58
306;5.00;5.35;12.59
307;5.03;5.35;15.07
308;4.69;5.38;8.32
309;4.64;5.44;88.33
310;5.86;5.33;15.17
311;4.80;5.48;17.09
312;4.58;5.45;8.19
313;5.60;5.49;7.08
314;4.98;5.44;53.21
315;4.16;5.34;17.33
316;5.90;5.35;11.94
317;4.57;5.40;9.22
318;4.64;5.54;11.25
319;5.67;5.33;10.12
320;4.64;5.35;37.32
321;4.60;5.35;55.49
322;5.60;5.34;4.10
323;4.63;5.33;10.04
324;5.69;5.37;12.08
325;4.93;5.42;8.10
326;4.82;5.34;8.00
327;4.68;5.48;29.02
328;4.72;5.35;42.16
329;4.95;5.33;32.30
330;5.73;5.33;39.19
331;4.99;5.36;42.25
332;4.57;5.38;4.12
333;4.69;5.33;14.07
334;5.75;5.46;20.13
335;4.94;5.56;24.07
336;5.00;5.48;5.09
337;4.88;5.34;59.18
338;4.63;5.43;22.12
339;5.71;5.46;19.99
340;4.77;5.51;15.68
341;4.51;5.54;51.61
342;5.75;5.44;30.18
343;4.93;5.35;35.25
344;4.93;5.34;6.25
345;4.96;5.43;7.08
346;4.64;5.36;37.49
347;4.59;5.45;32.49
348;5.85;5.53;13.18
349;5.01;5.34;23.17
350;4.90;5.43;18.55
351;5.06;5.36;7.03
352;4.59;5.45;9.37
353;4.65;5.46;67.87
354;5.84;5.35;11.28
355;4.81;5.34;12.76
356;4.62;5.45;43.10
357;5.08;5.36;32.18
358;4.60;5.46;11.04
359;5.77;5.40;7.50
360;4.63;5.42;18.12
361;4.59;5.37;15.11
362;5.67;5.43;35.11
363;4.51;5.57;35.33
364;5.88;5.43;17.17
365;4.60;5.33;17.28
366;4.88;5.36;15.10
367;4.62;5.37;23.04
368;5.78;5.36;73.39
369;5.16;5.34;10.08
370;3.96;5.33;22.21
371;5.83;5.38;61.48
372;5.01;5.49;4.03
373;4.74;5.48;31.05
374;4.70;5.45;41.42
375;5.69;5.46;52.20
376;4.98;5.33;8.15
377;5.04;5.38;22.20
378;5.00;5.42;17.07
379;5.02;5.39;7.08
380;4.04;5.34;14.31
381;5.64;5.33;13.26
382;4.79;5.37;14.22
383;4.58;5.46;20.19
384;5.73;5.33;20.18
385;4.91;5.33;39.17
386;4.85;5.36;33.15
387;4.73;5.38;18.24
388;4.71;5.47;39.18
389;5.69;5.46;26.66
390;4.90;5.45;29.61
391;4.86;5.53;20.52
392;4.66;5.56;10.66
393;5.67;5.37;57.76
394;4.80;5.35;49.79
395;4.66;5.34;43.89
396;4.72;5.40;16.61
397;5.74;5.42;10.87
398;5.17;5.35;21.63
399;4.93;5.40;91.70
400;5.17;5.46;62.69
401;4.34;5.41;19.61
402;5.71;5.39;7.60
403;4.85;5.42;22.57
404;4.81;5.43;43.66
405;4.67;5.37;83.75
406;4.69;5.43;68.69
407;5.90;5.43;32.66
408;5.03;5.34;13.61
409;4.84;5.43;16.54
410;4.93;5.33;73.56
411;5.05;5.38;11.68
412;4.33;5.45;13.54
413;5.77;5.36;7.54
414;4.05;5.33;39.58
415;5.72;5.35;71.71
416;4.64;5.36;9.66
417;4.73;5.44;18.55
418;5.70;5.50;28.64
419;4.94;5.35;18.61
420;5.06;5.34;19.63
421;4.95;5.44;18.79
422;4.83;5.37;19.82
423;4.68;5.45;10.79
424;5.79;5.45;10.32
425;5.09;5.42;33.83
426;3.94;5.47;40.61
427;5.71;5.42;12.52
428;4.86;5.35;66.57
429;4.53;5.36;11.63
430;5.85;5.36;47.93
431;4.96;5.35;19.91
432;5.05;5.44;35.94
433;3.99;5.38;32.91
434;5.58;5.36;8.14
435;4.86;5.61;7.98
436;4.69;5.32;16.89
437;5.81;5.50;8.86
438;4.95;5.44;19.89
439;4.83;5.34;18.88
440;4.80;5.46;24.91
441;4.79;5.35;37.94
442;5.59;5.36;20.96
443;4.82;5.36;10.88
444;4.88;5.45;20.74
445;4.50;5.50;20.74
446;5.65;5.47;10.91
447;4.72;5.49;9.05
448;4.59;5.39;43.97
449;5.79;5.36;22.95
450;4.84;5.34;6.84
451;4.62;5.43;7.20
452;4.67;5.37;12.93
453;5.71;5.46;7.09
454;4.67;5.46;11.96
455;4.69;5.35;22.98
456;5.74;5.36;9.01
457;4.68;5.36;9.01
458;4.62;5.36;18.07
459;5.70;5.42;7.90
460;4.93;5.54;7.97
461;4.70;5.53;16.00
462;5.60;5.34;6.96
463;4.08;5.37;29.88
464;5.68;5.45;5.93
465;4.82;5.36;16.91
466;4.56;5.48;57.05
467;5.77;5.44;25.96
468;4.61;5.41;20.89
469;4.59;5.33;48.92
470;5.75;5.35;13.04
471;4.61;5.36;50.96
472;4.92;5.45;38.99
473;4.97;5.46;28.89
474;4.65;5.35;19.93
475;5.77;5.45;32.38
476;4.81;5.35;14.20
477;4.57;5.37;7.47
478;5.56;5.29;17.21
479;4.62;5.54;11.22
480;5.63;5.47;8.18
481;4.81;5.34;9.13
482;4.71;5.34;50.17
483;4.58;5.45;11.22
484;5.68;5.34;9.20
485;4.55;5.37;17.23
486;5.76;5.34;18.22
487;4.83;5.42;8.16
488;4.71;5.52;10.32
489;4.63;5.46;14.21
490;5.74;5.36;30.15
491;4.09;5.43;10.21
492;5.75;5.33;22.21
493;5.00;5.44;7.15
494;5.10;5.35;19.21
495;4.68;5.37;69.28
496;4.65;5.36;10.29
497;4.76;5.45;16.22
498;5.78;5.34;13.28
499;4.89;5.44;7.18
500;4.62;5.34;25.17
501;5.66;5.47;34.22
502;4.86;5.47;22.17
503;4.86;5.35;23.18
504;4.75;5.34;9.14
505;4.56;5.46;31.13
506;5.75;5.38;60.24
507;4.60;5.43;41.35
508;5.71;5.33;6.24
509;4.89;5.35;11.19
510;4.72;5.33;34.18
511;4.92;5.36;12.19
512;4.71;5.43;8.20
513;4.71;5.33;35.37
514;5.70;5.33;23.18
515;4.81;5.37;8.23
516;4.55;5.34;9.17
517;5.75;5.45;16.13
518;4.72;5.42;31.16
519;4.54;5.56;15.20
520;5.70;5.35;45.20
521;4.72;5.33;43.22
522;5.74;5.45;24.19
523;3.90;5.34;25.26
524;5.64;5.34;25.20
525;4.65;5.38;17.21
526;5.71;5.48;54.36
527;4.77;5.53;20.16
528;4.94;5.34;16.22
529;4.87;5.49;7.12
530;4.58;5.43;11.14
531;4.81;5.34;40.18
532;5.69;5.34;16.23
533;5.12;5.37;14.18
534;4.87;5.39;19.20
535;5.06;5.33;14.26
536;4.99;5.44;7.21
537;4.73;5.35;33.19
538;4.50;5.44;23.23
539;5.80;5.40;43.35
540;4.59;5.48;7.88
541;5.55;5.41;17.95
542;4.90;5.35;13.11
543;4.85;5.32;25.94
544;4.57;5.44;25.91
545;5.75;5.43;38.96
546;4.67;5.54;20.90
547;4.50;5.43;34.99
548;5.85;5.33;6.92
549;4.02;5.37;9.90
550;5.66;5.33;44.96
551;4.65;5.37;11.01
552;4.75;5.49;10.89
553;5.68;5.33;33.90
554;4.76;5.40;11.94
555;4.51;5.52;12.92
556;5.71;5.48;43.92
557;4.84;5.47;14.91
558;4.75;5.34;73.96
559;5.68;5.36;9.96
560;4.01;5.52;5.82
561;5.74;5.36;22.90
562;4.74;5.34;19.90
563;4.67;5.33;24.02
564;5.84;5.46;21.93
565;4.55;5.37;13.92
566;4.68;5.35;15.12
567;4.73;5.38;8.87
568;5.69;5.56;26.87
569;4.83;5.35;22.93
570;4.58;5.37;14.95
571;5.79;5.46;53.95
572;5.02;5.33;30.89
573;4.75;5.35;11.92
574;4.84;5.36;15.91
575;4.56;5.33;20.89
576;5.76;5.37;14.90
577;4.74;5.43;9.95
578;4.53;5.34;10.89
579;5.88;5.35;32.99
580;4.90;5.45;15.95
581;4.62;5.33;30.94
582;5.05;5.35;13.02
583;4.74;5.33;9.87
584;5.57;5.45;14.98
585;4.87;5.37;28.94
586;4.68;5.39;13.97
587;4.65;5.36;36.89
588;5.72;5.33;8.93
589;4.74;5.37;6.90
590;4.58;5.42;14.94
591;5.71;5.43;33.90
592;5.06;5.48;33.90
593;4.24;5.52;10.97
594;4.82;5.51;6.93
595;5.95;5.36;7.03
596;5.01;5.56;16.99
597;4.99;5.37;7.93
598;4.71;5.35;16.97
599;4.56;5.34;36.98
600;5.66;5.36;30.90
601;4.56;5.54;26.96
602;4.58;5.36;16.91
603;5.71;5.56;6.90
604;4.74;5.44;51.94
605;4.67;5.35;58.94
606;5.69;5.35;19.65
607;4.53;5.37;11.34
608;5.69;5.59;8.17
609;4.80;5.44;7.21
610;4.78;5.34;27.19
611;4.76;5.36;6.20
612;4.69;5.33;10.18
613;5.72;5.35;21.20
614;4.68;5.34;8.15
615;4.53;5.37;8.21
616;5.83;5.38;17.18
617;4.82;5.35;17.28
618;4.89;5.33;32.23
619;4.54;5.33;51.20
620;5.73;5.45;36.22
621;4.73;5.42;11.21
622;4.60;5.35;63.21
623;5.70;5.33;80.25
624;4.61;5.46;18.20
625;4.65;5.43;28.20
626;5.66;5.54;40.16
627;4.74;5.29;22.95
628;4.50;5.43;19.21
629;5.69;5.40;18.19
630;4.58;5.34;20.17
631;5.63;5.44;18.21
632;4.84;5.53;49.19
633;4.77;5.44;28.13
634;4.64;5.46;92.19
635;5.77;5.43;35.15
636;4.99;5.45;36.11
637;4.89;5.37;21.30
638;5.08;5.54;16.10
639;4.19;5.46;20.11
640;5.67;5.36;6.26
641;4.85;5.35;30.17
642;4.57;5.34;8.19
643;5.67;5.34;17.16
644;4.84;5.39;10.17
645;4.60;5.41;51.19
646;5.66;5.38;26.12
647;4.54;5.54;45.21
648;5.62;5.44;12.17
649;4.70;5.38;13.14
650;4.87;5.50;27.20
651;4.56;5.42;42.13
652;5.67;5.43;9.20
653;4.87;5.36;14.14
654;4.86;5.45;8.14
655;4.90;5.43;12.13
656;4.54;5.44;56.26
657;5.77;5.36;15.15
658;4.82;5.35;15.58
659;4.57;5.47;12.16
660;5.87;5.35;13.21
661;4.98;5.36;45.18
662;4.65;5.32;39.15
663;4.73;5.33;8.17
664;4.72;5.55;48.13
665;5.75;5.42;26.73
666;4.82;5.34;46.45
667;4.67;5.45;66.23
668;5.60;5.41;75.23
669;5.07;5.35;52.25
670;4.66;5.37;21.21
671;4.75;5.34;14.18
672;4.97;5.35;54.25
673;4.86;5.40;19.21
674;4.82;5.56;15.23
675;5.67;5.49;25.20
676;4.98;5.45;24.27
677;5.20;5.34;7.21
678;5.05;5.45;11.15
679;4.51;5.32;8.28
680;4.52;5.46;32.82
681;5.69;5.36;57.20
682;4.58;5.45;8.19
683;4.68;5.37;13.23
684;5.63;5.36;30.23
685;4.55;5.34;23.20
686;5.74;5.34;26.25
687;4.90;5.43;31.22
688;4.75;5.44;20.33
689;4.58;5.43;61.29
690;5.62;5.55;13.29
691;4.56;5.36;20.59
692;5.78;5.35;69.19
693;4.60;5.56;10.19
694;4.76;5.43;91.24
695;4.83;5.55;9.17
696;5.75;5.36;30.60
697;4.66;5.35;40.56
698;4.62;5.33;49.05
699;5.74;5.43;8.20
700;4.85;5.35;17.17
701;4.97;5.35;28.24
702;4.96;5.33;9.17
703;4.75;5.35;17.17
704;4.58;5.36;92.28
705;5.59;5.56;42.07
706;4.54;5.33;34.20
707;5.76;5.33;14.26
708;4.68;5.36;21.20
709;4.65;5.45;26.17
710;5.60;5.37;21.74
711;4.62;5.44;54.17
712;4.71;5.43;25.22
713;5.91;5.44;17.56
714;4.11;5.34;22.51
715;5.72;5.37;88.52
716;4.93;5.45;23.40
717;5.10;5.34;7.90
718;3.98;5.36;11.77
